City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Hithadhoo,MV,2022-04-20 18:57:20,-0.6,73.0833,83.28,70,93,3.42
214,Loei,TH,2022-04-20 18:57:55,17.4167,101.5,72.12,73,61,2.17
215,Tezu,IN,2022-04-20 18:57:56,27.9167,96.1667,70.3,77,93,3.24
216,Anaconda,US,2022-04-20 18:57:56,46.1285,-112.9423,40.57,40,62,8.39
217,Oktyabrskoye,RU,2022-04-20 18:57:56,43.0645,44.7417,46.54,100,100,6.71
218,Ambon,ID,2022-04-20 18:55:12,-3.6954,128.1814,78.94,89,40,4.61
219,Limbang,MY,2022-04-20 18:57:57,4.75,115.0,75.31,98,100,1.92
220,Hibbing,US,2022-04-20 18:57:57,47.4272,-92.9377,37.38,49,100,8.05
221,Jumla,NP,2022-04-20 18:57:57,29.2747,82.1838,51.3,76,8,3.89
222,Chuy,UY,2022-04-20 18:57:58,-33.6971,-53.4616,75.07,52,0,10.85
223,Iquique,CL,2022-04-20 18:57:58,-20.2208,-70.1431,69.84,74,46,9.69
224,Geraldton,AU,2022-04-20 18:57:58,-28.7667,114.6,66.61,48,97,13.8
225,Keuruu,FI,2022-04-20 18:57:59,62.2667,24.7,46.58,91,8,3.06
226,Farmington,US,2022-04-20 18:57:59,36.7281,-108.2187,73.78,15,6,8.01
227,Krasnyy Yar,RU,2022-04-20 18:57:59,46.5331,48.3456,58.96,64,100,22.06
228,Broome,US,2022-04-20 18:59:00,42.2506,-75.833,51.89,47,74,5.99
229,Urucara,BR,2022-04-20 18:59:00,-2.5364,-57.76,78.96,93,100,4.03
230,Oda,JP,2022-04-20 18:55:34,35.1833,132.5,55.81,64,100,9.17
231,Nome,US,2022-04-20 18:59:00,64.5011,-165.4064,29.16,65,0,3.65
232,Esperance,AU,2022-04-20 18:59:01,-33.8667,121.9,55.24,77,89,8.16
233,Belmonte,BR,2022-04-20 18:59:01,-15.8631,-38.8828,80.38,72,19,12.01
234,Alice Springs,AU,2022-04-20 18:59:01,-23.7,133.8833,49.55,57,85,4.61
235,Guerrero Negro,MX,2022-04-20 18:57:42,27.9769,-114.0611,68.29,60,100,19.48
236,Villa Carlos Paz,AR,2022-04-20 18:55:04,-31.4241,-64.4978,83.48,31,10,15.99
237,Hofn,IS,2022-04-20 18:59:02,64.2539,-15.2082,46.42,93,100,24.16
238,Teguise,ES,2022-04-20 18:59:02,29.0605,-13.564,62.82,55,40,28.77
239,Coquimbo,CL,2022-04-20 18:59:03,-29.9533,-71.3436,64.13,72,40,11.5
240,Ostrovnoy,RU,2022-04-20 18:59:03,68.0531,39.5131,32.43,91,100,6.85
241,Oksfjord,NO,2022-04-20 18:59:03,70.2396,22.3479,46.47,95,67,4.85
242,Naples,IT,2022-04-20 18:58:16,40.8333,14.25,64.15,69,20,3.0
243,Durban,ZA,2022-04-20 18:54:13,-29.8579,31.0292,69.03,89,0,5.01
244,Berlevag,NO,2022-04-20 18:59:04,70.8578,29.0864,40.95,75,0,9.22
245,Naze,JP,2022-04-20 18:57:01,28.3667,129.4833,67.12,76,100,6.02
246,Roma,US,2022-04-20 18:59:04,43.2128,-75.4557,48.09,52,16,11.01
247,Statesboro,US,2022-04-20 18:58:42,32.4488,-81.7832,73.2,37,75,9.22
248,Dingle,PH,2022-04-20 18:59:04,10.9995,122.6711,76.62,90,14,6.46
249,Agdam,AZ,2022-04-20 18:59:05,39.991,46.9274,63.88,58,82,1.79
250,Rio Grande,BR,2022-04-20 18:59:05,-32.035,-52.0986,80.71,63,0,10.27
251,Kununurra,AU,2022-04-20 18:59:05,-15.7667,128.7333,73.38,88,100,0.0
252,Anadyr,RU,2022-04-20 18:59:06,64.75,177.4833,30.7,86,75,6.71
253,Alofi,NU,2022-04-20 18:59:06,-19.0595,-169.9187,75.09,94,85,4.61
254,Leh,IN,2022-04-20 18:59:06,34.1667,77.5833,42.62,47,97,5.91
255,Valle De Allende,MX,2022-04-20 18:59:07,26.9333,-105.4,85.33,9,84,7.65
256,Barquisimeto,VE,2022-04-20 18:55:35,10.0739,-69.3228,84.33,50,100,2.82
257,Tasiilaq,GL,2022-04-20 18:59:07,65.6145,-37.6368,32.56,93,91,3.65
258,Sembe,CG,2022-04-20 18:59:07,1.6481,14.5806,71.33,92,100,1.97
259,Abu Kamal,SY,2022-04-20 18:59:08,34.4506,40.9171,70.3,28,0,8.5
260,Morro Bay,US,2022-04-20 18:59:08,35.3658,-120.8499,70.25,58,3,10.0
261,Aguilas,ES,2022-04-20 18:59:08,37.4063,-1.5829,55.26,60,100,19.71
262,Dabat,ET,2022-04-20 18:59:09,12.9842,37.765,64.31,43,23,3.69
263,Mitsamiouli,KM,2022-04-20 18:59:09,-11.3847,43.2844,82.31,77,83,7.67
264,Vila Velha,BR,2022-04-20 18:57:26,-20.3297,-40.2925,82.35,75,20,14.97
265,San Jose Iturbide,MX,2022-04-20 18:59:09,21.0,-100.3833,81.59,17,0,14.52
266,Lugoba,TZ,2022-04-20 18:59:10,-6.45,38.3333,71.87,97,100,0.58
267,Paracuru,BR,2022-04-20 18:59:10,-3.41,-39.0306,84.11,82,91,10.25
268,Linxia,CN,2022-04-20 18:59:10,35.6003,103.2064,49.82,18,98,4.85
269,Suntar,RU,2022-04-20 18:59:11,62.1444,117.6319,16.68,96,99,3.09
270,Kokopo,PG,2022-04-20 18:59:11,-4.352,152.2633,77.22,82,96,2.57
271,Noumea,NC,2022-04-20 18:59:12,-22.2763,166.4572,75.99,99,53,2.73
272,Cayenne,GF,2022-04-20 18:55:17,4.9333,-52.3333,78.84,1,75,5.75
273,Itarema,BR,2022-04-20 18:59:12,-2.9248,-39.9167,81.82,82,91,12.03
274,Portland,US,2022-04-20 18:55:37,45.5234,-122.6762,48.29,89,100,7.0
275,Najran,SA,2022-04-20 19:00:13,17.4924,44.1277,77.49,19,72,2.35
276,Mitu,CO,2022-04-20 19:00:14,1.1983,-70.1733,77.11,84,100,1.81
277,Clyde River,CA,2022-04-20 18:56:33,70.4692,-68.5914,3.43,78,75,13.8
278,Otjimbingwe,NA,2022-04-20 19:00:16,-22.35,16.1333,75.65,24,10,2.98
279,Dumas,US,2022-04-20 19:00:18,35.8656,-101.9732,73.54,21,0,9.22
280,Majene,ID,2022-04-20 19:00:18,-3.5403,118.9707,78.03,88,100,4.76
281,Mareeba,AU,2022-04-20 19:00:19,-17.0,145.4333,72.45,88,99,2.8
282,Mao,ES,2022-04-20 19:00:19,39.8885,4.2658,57.76,77,20,8.05
283,Kulhudhuffushi,MV,2022-04-20 19:00:20,6.6221,73.07,84.94,74,28,11.32
284,Nouadhibou,MR,2022-04-20 18:55:47,20.931,-17.0347,69.78,68,11,18.41
285,Katsuura,JP,2022-04-20 19:00:21,35.1333,140.3,55.42,89,100,5.21
286,Nalut,LY,2022-04-20 19:00:21,30.3333,10.85,81.12,10,59,18.79
287,Flinders,AU,2022-04-20 19:00:21,-34.5833,150.8552,58.05,80,0,3.0
288,Praia Da Vitoria,PT,2022-04-20 19:00:22,38.7333,-27.0667,63.75,72,99,2.35
289,Hamilton,US,2022-04-20 18:55:27,39.1834,-84.5333,62.94,40,49,5.01
290,Shingu,JP,2022-04-20 18:57:49,33.7333,135.9833,57.7,71,100,4.97
291,Shamgarh,IN,2022-04-20 19:00:23,24.1833,75.6333,89.67,21,38,12.75
292,Narrabri,AU,2022-04-20 19:00:23,-30.3167,149.7833,50.52,90,61,7.34
293,Nadym,RU,2022-04-20 19:00:24,65.5333,72.5167,5.23,89,21,18.86
294,Camacha,PT,2022-04-20 19:00:24,33.0833,-16.3333,58.42,67,75,17.27
